Disease|Description
sickle cell anemia|Sickle cell anemia is a genetic blood disorder causing red blood cells to assume a sickle shape, leading to blockages in blood flow. Symptoms include pain crises, anemia, fatigue, and increased risk of infections. Treatment includes pain management, blood transfusions, and medications like hydroxyurea.
subconjunctival hemorrhage|Subconjunctival hemorrhage is bleeding under the conjunctiva of the eye, usually harmless. Symptoms include a red patch on the white of the eye without pain or vision changes. Treatment is typically not needed; the condition resolves on its own in 1–2 weeks.
hemorrhoids|Hemorrhoids are swollen veins in the rectum or anus, causing pain, itching, and rectal bleeding. They may be internal or external. Treatment includes dietary fiber, topical creams, warm baths, and in severe cases, procedures like rubber band ligation or surgery.
contact dermatitis|Contact dermatitis is a skin rash caused by contact with an allergen or irritant. Symptoms include redness, itching, blisters, and dry patches. Treatment involves avoiding the trigger, using corticosteroid creams, and moisturizing the skin.
sinus bradycardia|Sinus bradycardia is a slower-than-normal heart rate originating from the sinus node. It may be normal in athletes but can cause fatigue, dizziness, or fainting in others. Treatment is only necessary if symptomatic and may include medication adjustment or a pacemaker.
high blood pressure|High blood pressure (hypertension) is a chronic condition where blood pressure in the arteries is persistently elevated. Symptoms are often absent but may include headaches or nosebleeds in severe cases. Treatment includes lifestyle changes and medications like ACE inhibitors or beta-blockers.
pelvic inflammatory disease|Pelvic inflammatory disease (PID) is an infection of the female reproductive organs. Symptoms include pelvic pain, abnormal vaginal discharge, fever, and pain during sex. Treatment includes antibiotics and, in severe cases, hospitalization or surgery.
liver disease|Liver disease encompasses a range of conditions affecting liver function, including hepatitis, fatty liver, and cirrhosis. Symptoms may include jaundice, fatigue, abdominal pain, and swelling. Treatment depends on the cause and may include medications, lifestyle changes, and in some cases, liver transplantation.
chronic constipation|Chronic constipation is persistent difficulty in bowel movements. Symptoms include infrequent stools, straining, bloating, and a feeling of incomplete evacuation. Treatment includes dietary fiber, fluids, laxatives, and in some cases, prescription medications or biofeedback therapy.
thyroid cancer|Thyroid cancer is a malignancy of the thyroid gland. Symptoms may include a neck lump, hoarseness, difficulty swallowing, and swollen lymph nodes. Treatment includes surgery, radioactive iodine, and thyroid hormone therapy.
flu|Flu (influenza) is a viral respiratory illness. Symptoms include fever, chills, sore throat, cough, muscle aches, and fatigue. Treatment includes rest, hydration, antiviral medications (like oseltamivir), and symptom relief medications.
friedrich ataxia|Friedrich ataxia is a rare genetic disorder that causes progressive damage to the nervous system. Symptoms include gait instability, muscle weakness, heart disease, and scoliosis. There is no cure; treatment focuses on managing symptoms with physical therapy and cardiac care.
tic (movement) disorder|Tic disorders involve sudden, repetitive movements or sounds. Symptoms include blinking, throat clearing, or other motor or vocal tics. Treatment includes behavioral therapy, medications like antipsychotics, and sometimes relaxation techniques.
skin polyp|Skin polyps, also known as skin tags, are benign, soft skin growths. They are typically asymptomatic but may cause irritation if rubbed. Treatment includes removal through cutting, freezing (cryotherapy), or cauterization if desired.
brachial neuritis|Brachial neuritis is inflammation of the brachial plexus nerves, causing sudden shoulder pain followed by weakness or numbness. Treatment includes pain management with NSAIDs, corticosteroids, and physical therapy.
cervical cancer|Cervical cancer arises from the cervix, often linked to HPV infection. Symptoms include abnormal bleeding, pelvic pain, and discharge. Treatment involves surgery, radiation, and chemotherapy depending on the stage.
adrenal adenoma|Adrenal adenoma is a benign tumor of the adrenal gland, sometimes producing excess hormones. Symptoms depend on hormone type and may include high blood pressure, weight gain, or fatigue. Treatment includes monitoring or surgical removal if hormone-secreting.
esophagitis|Esophagitis is inflammation of the esophagus, often due to acid reflux, infections, or medications. Symptoms include heartburn, painful swallowing, and chest pain. Treatment includes proton pump inhibitors, dietary changes, and treating underlying causes.
gas gangrene|Gas gangrene is a severe bacterial infection caused by Clostridium species, leading to tissue death and gas production in muscles. Symptoms include sudden pain, swelling, skin discoloration, and foul-smelling discharge. Treatment involves emergency surgery to remove dead tissue, antibiotics, and sometimes hyperbaric oxygen therapy.
yeast infection|A yeast infection is typically caused by Candida overgrowth, affecting moist areas like the mouth, skin folds, or vagina. Symptoms include itching, burning, redness, and white discharge. Treatment includes antifungal creams or oral medications like fluconazole.
spina bifida|Spina bifida is a birth defect where the spinal cord doesn’t develop properly. Symptoms vary by type but may include back protrusion, weakness, and bladder or bowel issues. Treatment includes surgery, physical therapy, and assistive devices.
drug poisoning due to medication|Drug poisoning occurs from the ingestion of harmful doses of medication, whether accidental or intentional. Symptoms can include confusion, nausea, slowed breathing, and unconsciousness. Treatment involves activated charcoal, antidotes, and supportive care in a hospital.
alcoholic liver disease|Alcoholic liver disease is liver damage caused by excessive alcohol consumption. Symptoms include jaundice, fatigue, abdominal pain, and swelling. Treatment involves complete cessation of alcohol, nutritional support, and medications to reduce inflammation.
malignant hypertension|Malignant hypertension is a severe form of high blood pressure that damages organs rapidly. Symptoms include headache, vision changes, chest pain, and confusion. It requires emergency treatment with intravenous antihypertensives and hospitalization.
diverticulitis|Diverticulitis is inflammation or infection of diverticula in the colon. Symptoms include abdominal pain (usually on the lower left), fever, and changes in bowel habits. Treatment includes antibiotics, dietary modifications, and in severe cases, surgery.
moyamoya disease|Moyamoya disease is a rare condition where arteries at the base of the brain become narrowed, reducing blood flow. Symptoms include strokes, seizures, and cognitive issues. Treatment includes revascularization surgery and medications to prevent clots.
heat exhaustion|Heat exhaustion is caused by excessive heat and dehydration. Symptoms include heavy sweating, weakness, dizziness, nausea, and fainting. Treatment includes moving to a cool area, hydration with water or electrolytes, and rest.
psychotic disorder|Psychotic disorders involve a disconnection from reality, such as hallucinations or delusions. Symptoms may include disorganized thinking, paranoia, and lack of insight. Treatment includes antipsychotic medications and psychotherapy.
frostbite|Frostbite is damage to skin and tissues caused by freezing temperatures. Symptoms include numbness, skin discoloration, and blistering. Treatment involves gradual rewarming, wound care, and in severe cases, surgery or amputation.
atrophy of the corpus cavernosum|Atrophy of the corpus cavernosum involves shrinkage of the erectile tissue in the penis, often due to lack of use, injury, or hormonal changes. Symptoms include erectile dysfunction and reduced penile size. Treatment includes testosterone therapy, vacuum erection devices, or penile implants.
smoking or tobacco addiction|Smoking addiction is a dependence on nicotine found in tobacco. Symptoms include cravings, irritability when not smoking, and compulsive use. Treatment includes nicotine replacement therapy, prescription medications like varenicline, and behavioral therapy.
sprain or strain|A sprain is an injury to ligaments, and a strain is an injury to muscles or tendons. Symptoms include pain, swelling, bruising, and limited motion. Treatment includes RICE (Rest, Ice, Compression, Elevation), pain relievers, and physical therapy.
essential tremor|Essential tremor is a neurological condition causing rhythmic shaking, especially in the hands. Symptoms worsen with movement or stress. Treatment includes beta-blockers, anticonvulsants, and in severe cases, deep brain stimulation.
open wound of the ear|An open wound of the ear can result from trauma or surgery. Symptoms include bleeding, pain, and possible hearing changes. Treatment involves cleaning the wound, antibiotics if infected, and suturing if deep.
foreign body in the nose|Foreign bodies in the nose are common in children and can cause nasal obstruction, discharge, and foul odor. Treatment involves careful removal using instruments, sometimes under sedation or anesthesia.
idiopathic painful menstruation|Idiopathic painful menstruation (primary dysmenorrhea) involves painful periods without an underlying condition. Symptoms include cramping in the lower abdomen, nausea, and fatigue. Treatment includes NSAIDs, hormonal birth control, and heat therapy.
down syndrome|Down syndrome is a genetic condition caused by an extra chromosome 21. Symptoms include intellectual disability, distinct facial features, and developmental delays. Treatment includes early intervention programs, educational support, and medical monitoring.
idiopathic infrequent menstruation|Idiopathic infrequent menstruation (oligomenorrhea) refers to irregular periods without a known cause. Symptoms include long cycles or missed periods. Treatment depends on the patient’s goals and may include hormonal therapy or lifestyle adjustments.
pneumothorax|Pneumothorax is the presence of air in the pleural space causing lung collapse. Symptoms include sudden chest pain, shortness of breath, and rapid heart rate. Treatment may involve observation for small cases, needle aspiration, chest tube insertion, or surgery in recurrent cases.
de quervain disease|De Quervain disease is inflammation of the tendons in the thumb side of the wrist. Symptoms include wrist pain and swelling near the base of the thumb, especially with movement. Treatment includes splinting, NSAIDs, corticosteroid injections, and sometimes surgery.
fracture of the vertebra|A vertebral fracture occurs when one or more spinal bones break due to trauma or osteoporosis. Symptoms include back pain, loss of height, or deformity. Treatment ranges from pain control and bracing to surgical procedures like vertebroplasty or spinal fusion.
human immunodeficiency virus infection (hiv)|HIV is a virus that attacks the immune system, increasing vulnerability to infections. Early symptoms include flu-like illness, while late stages lead to AIDS. Treatment involves lifelong antiretroviral therapy (ART) to control viral load and prevent progression.
mumps|Mumps is a viral infection affecting the salivary glands. Symptoms include swollen, painful parotid glands, fever, headache, and fatigue. Treatment is supportive—rest, hydration, and pain relievers. Vaccination (MMR) is effective for prevention.
subarachnoid hemorrhage|Subarachnoid hemorrhage is bleeding in the space between the brain and surrounding membrane, often due to a ruptured aneurysm. Symptoms include a sudden severe headache, neck stiffness, and loss of consciousness. Treatment involves emergency surgery or coiling, and ICU care.
acute fatty liver of pregnancy (aflp)|AFLP is a rare but serious complication in pregnancy where fat accumulates in the liver. Symptoms include nausea, vomiting, abdominal pain, jaundice, and confusion. Immediate delivery of the baby and intensive supportive care for the mother are essential.
ectropion|Ectropion is the outward turning of the eyelid, usually the lower one, leading to exposure of the inner eyelid. Symptoms include irritation, tearing, and redness. Treatment includes lubricating eye drops, ointments, or surgical correction if severe.
scar|A scar is fibrous tissue that replaces normal skin after injury. Symptoms may include discoloration, raised or sunken appearance, or itchiness. Treatment includes topical creams, silicone sheets, laser therapy, or surgical revision depending on severity.
lactose intolerance|Lactose intolerance is the inability to digest lactose, a sugar found in milk. Symptoms include bloating, diarrhea, and abdominal cramps after dairy consumption. Treatment includes avoiding lactose-containing foods or using lactase enzyme supplements.
eustachian tube dysfunction (ear disorder)|Eustachian tube dysfunction occurs when the tubes connecting the middle ear to the throat fail to open properly. Symptoms include ear fullness, popping, hearing loss, and discomfort. Treatment includes decongestants, nasal steroids, and in chronic cases, tube placement.
appendicitis|Appendicitis is inflammation of the appendix, usually due to obstruction. Symptoms include sharp abdominal pain starting near the navel, then shifting to the lower right abdomen, along with nausea and fever. Treatment is usually surgical removal (appendectomy).
graves disease|Graves disease is an autoimmune condition causing hyperthyroidism. Symptoms include weight loss, rapid heartbeat, heat intolerance, and bulging eyes. Treatment includes antithyroid medications, radioactive iodine therapy, or surgery to remove the thyroid.
dissociative disorder|Dissociative disorders involve disconnection from thoughts, identity, or surroundings, often due to trauma. Symptoms include memory loss, identity confusion, or feeling detached from reality. Treatment includes psychotherapy, particularly cognitive behavioral and trauma-focused therapies.
open wound of the face|An open wound of the face can result from trauma, accidents, or surgery. Symptoms include bleeding, pain, and visible skin breakage. Treatment involves cleaning, suturing if needed, antibiotics, and wound care to prevent infection and minimize scarring.
dislocation of the vertebra|Vertebral dislocation occurs when vertebrae are displaced due to trauma. Symptoms include severe back pain, nerve symptoms like numbness, and spinal instability. Treatment includes spinal immobilization, realignment (reduction), and possibly surgical stabilization.
phimosis|Phimosis is a condition where the foreskin cannot be fully retracted over the glans penis. Symptoms may include pain, swelling, or infection. Treatment includes topical steroids, stretching exercises, or circumcision if recurrent problems occur.
hyperemesis gravidarum|Hyperemesis gravidarum is severe nausea and vomiting in pregnancy that leads to weight loss and dehydration. Symptoms include persistent vomiting, electrolyte imbalance, and fatigue. Treatment includes IV fluids, antiemetics, and sometimes hospitalization.
pregnancy|Pregnancy is the condition of carrying a developing fetus in the uterus. Symptoms include missed periods, nausea, breast tenderness, and fatigue. Regular prenatal care, balanced diet, and avoiding harmful substances are key aspects of management.
thalassemia|Thalassemia is an inherited blood disorder that reduces hemoglobin production. Symptoms include fatigue, weakness, pale skin, and enlarged spleen. Treatment includes regular blood transfusions, iron chelation therapy, and bone marrow transplant in severe cases.
placenta previa|Placenta previa occurs when the placenta partially or completely covers the cervix during pregnancy. Symptoms include painless vaginal bleeding in the second or third trimester. Treatment involves monitoring, bed rest, and cesarean delivery depending on severity and gestational age.
epidural hemorrhage|Epidural hemorrhage is bleeding between the skull and the outer membrane covering the brain, usually caused by trauma. Symptoms include brief loss of consciousness, followed by a lucid interval and then rapid deterioration. Emergency surgical intervention is usually required.
septic arthritis|Septic arthritis is a joint infection caused by bacteria or other organisms. Symptoms include sudden joint pain, swelling, redness, and fever. Treatment involves urgent drainage of the joint and intravenous antibiotics.
athlete's foot|Athlete's foot is a fungal infection that affects the skin on the feet, especially between the toes. Symptoms include itching, peeling, and redness. Treatment includes antifungal creams, keeping the feet dry, and avoiding contaminated surfaces.
pleural effusion|Pleural effusion is the accumulation of fluid in the pleural space around the lungs. Symptoms include chest pain, shortness of breath, and cough. Treatment depends on the cause and may involve draining the fluid and treating underlying conditions such as infection or cancer.
aphakia|Aphakia refers to the absence of the lens in the eye, usually due to surgical removal for cataracts. Symptoms include blurred vision, focusing difficulties, and glare. Treatment involves corrective lenses, contact lenses, or intraocular lens implants.
vulvar disorder|Vulvar disorders encompass various conditions affecting the external female genitalia. Symptoms may include itching, burning, pain, or skin changes. Treatment depends on the cause and may include antifungals, corticosteroids, or surgery for more serious issues.
sialoadenitis|Sialoadenitis is inflammation of a salivary gland, often due to bacterial infection. Symptoms include pain, swelling near the jaw, fever, and dry mouth. Treatment includes antibiotics, hydration, massage, and warm compresses.
gynecomastia|Gynecomastia is the benign enlargement of male breast tissue, often due to hormonal imbalance, medications, or liver disease. Symptoms include swollen breast gland tissue and tenderness. Treatment may involve observation, medications, or surgery if persistent.
urinary tract infection|Urinary tract infection (UTI) is a bacterial infection affecting any part of the urinary system. Symptoms include frequent urination, burning sensation, and cloudy or bloody urine. Treatment typically involves antibiotics and increased fluid intake.
histoplasmosis|Histoplasmosis is a fungal infection caused by inhaling spores from bird or bat droppings. Symptoms range from mild respiratory illness to severe systemic infection. Treatment involves antifungal medications like itraconazole or amphotericin B.
erythema multiforme|Erythema multiforme is an immune-mediated skin reaction often triggered by infections or medications. Symptoms include red target-like lesions on the skin and sometimes mucosal involvement. Treatment is supportive, including antihistamines and corticosteroids in severe cases.
scoliosis|Scoliosis is a sideways curvature of the spine that usually develops during childhood or adolescence. Symptoms may include uneven shoulders, back pain, and visible spinal curvature. Treatment includes observation, bracing, or surgery in severe cases.
bunion|A bunion is a bony bump that forms on the joint at the base of the big toe. Symptoms include pain, swelling, and deformity. Treatment includes wearing proper footwear, orthotics, pain relievers, and surgery if conservative measures fail.
arrhythmia|Arrhythmia is an irregular heartbeat that can be too fast, too slow, or erratic. Symptoms include palpitations, dizziness, fatigue, or fainting. Treatment includes medications, pacemakers, ablation therapy, or lifestyle changes depending on the type and severity.
trigeminal neuralgia|Trigeminal neuralgia is a chronic pain condition affecting the trigeminal nerve in the face. Symptoms include sudden, severe facial pain triggered by mild stimulation. Treatment involves medications like anticonvulsants or surgical procedures to relieve nerve pressure.
ankylosing spondylitis|Ankylosing spondylitis is a type of arthritis that primarily affects the spine, causing inflammation, pain, and stiffness. Symptoms often begin in early adulthood and may lead to spinal fusion. Treatment includes NSAIDs, physical therapy, and biologic medications.
peripheral nerve disorder|Peripheral nerve disorders involve damage to the nerves outside the brain and spinal cord. Symptoms include tingling, numbness, weakness, and pain. Treatment depends on the cause and may include medications, physical therapy, or surgery.
sebaceous cyst|A sebaceous cyst is a noncancerous, closed sac under the skin filled with a greasy substance. Symptoms include a lump under the skin, which may become red or painful if infected. Treatment includes drainage or surgical removal if bothersome.
poisoning due to antipsychotics|Poisoning due to antipsychotics occurs from overdose or side effects of medications used to treat mental disorders. Symptoms include drowsiness, low blood pressure, tremors, and potentially seizures or coma. Treatment involves supportive care, gastric decontamination, and monitoring in a medical facility.
neurosis|Neurosis refers to a group of mental health conditions involving chronic distress but not delusions or hallucinations. Symptoms include anxiety, depression, obsessive thoughts, or phobias. Treatment typically includes psychotherapy, cognitive-behavioral therapy (CBT), and sometimes medications like antidepressants.
prostate cancer|Prostate cancer is a malignancy in the prostate gland, common in older men. Symptoms may include difficulty urinating, blood in urine, and pelvic discomfort. Treatments include surgery, radiation therapy, hormone therapy, and active surveillance for low-risk cases.
cerebral edema|Cerebral edema is swelling of the brain caused by trauma, stroke, infection, or tumors. Symptoms include headache, confusion, seizures, and loss of consciousness. Treatment includes osmotic agents like mannitol, corticosteroids, and addressing the underlying cause.
dislocation of the finger|A dislocation of the finger occurs when bones in a finger joint are forced out of place. Symptoms include pain, swelling, and deformity of the finger. Treatment involves manual reduction, splinting, and sometimes surgery in severe cases.
birth trauma|Birth trauma refers to injuries sustained by a newborn during delivery. Symptoms vary by type and may include bruising, fractures, or nerve damage. Treatment depends on the injury and can range from observation to surgical repair.
chronic pancreatitis|Chronic pancreatitis is long-term inflammation of the pancreas, often due to alcohol abuse. Symptoms include abdominal pain, weight loss, and malabsorption. Treatment involves pain management, pancreatic enzyme supplements, and avoiding alcohol.
hematoma|A hematoma is a localized collection of blood outside blood vessels, usually due to injury. Symptoms include swelling, discoloration, and tenderness. Treatment may include rest, ice, compression, elevation (RICE), and drainage if large or painful.
carcinoid syndrome|Carcinoid syndrome is a group of symptoms caused by hormone-secreting tumors, typically in the digestive tract. Symptoms include flushing, diarrhea, and wheezing. Treatment involves surgical removal, somatostatin analogs, and managing hormone levels.
open wound of the head|An open wound of the head is a break in the skin or scalp often caused by trauma. Symptoms include bleeding, pain, and visible tissue damage. Treatment includes cleaning, suturing, antibiotics if needed, and monitoring for concussion or skull injury.
seborrheic keratosis|Seborrheic keratosis is a benign skin growth that appears as a waxy, scaly, slightly elevated lesion. Symptoms are usually cosmetic, with no discomfort. Treatment is not necessary unless removal is desired for cosmetic reasons or irritation.
burn|A burn is tissue damage caused by heat, chemicals, electricity, or radiation. Symptoms vary by severity and include redness, blistering, and charring. Treatment ranges from cool compresses and dressings to fluid resuscitation and skin grafts for severe burns.
spontaneous abortion|Spontaneous abortion, or miscarriage, is the loss of a pregnancy before 20 weeks. Symptoms include vaginal bleeding, cramping, and loss of pregnancy symptoms. Treatment includes observation, medications to complete the miscarriage, or surgical removal (D&C).
genital herpes|Genital herpes is a sexually transmitted infection caused by the herpes simplex virus. Symptoms include painful blisters, ulcers, itching, and flu-like symptoms. Treatment includes antiviral medications like acyclovir to manage outbreaks.
adjustment reaction|Adjustment reaction is a psychological response to a stressor, resulting in emotional or behavioral symptoms. Symptoms include sadness, anxiety, or disturbances in daily function. Treatment involves psychotherapy, support, and sometimes medications for mood symptoms.
gallstone|Gallstones are hardened deposits of bile that form in the gallbladder. Symptoms include right upper abdominal pain, nausea, and vomiting. Treatment includes dietary changes, medications, or surgical removal of the gallbladder (cholecystectomy).
multiple sclerosis|Multiple sclerosis is a chronic autoimmune disease affecting the central nervous system. Symptoms include fatigue, numbness, vision problems, and motor impairment. Treatment includes disease-modifying therapies, steroids, and supportive rehabilitation.
zenker diverticulum|Zenker diverticulum is a pouch that forms in the upper esophagus causing swallowing difficulties. Symptoms include dysphagia, regurgitation of food, and chronic cough. Treatment involves dietary modifications and surgical correction in severe cases.
fracture of the pelvis|A fracture of the pelvis can result from trauma or falls. Symptoms include pelvic pain, difficulty walking, and bruising. Treatment may include bed rest, pain management, and surgery for unstable fractures.
pneumoconiosis|Pneumoconiosis is a lung disease caused by inhalation of dust, especially in occupational settings. Symptoms include chronic cough, shortness of breath, and chest tightness. Treatment involves removing exposure, supportive care, and managing complications.
hyperlipidemia|Hyperlipidemia is a condition characterized by elevated levels of lipids in the blood, such as cholesterol and triglycerides. Symptoms are usually absent but increase cardiovascular risk. Treatment includes diet changes, exercise, and medications like statins.
ulcerative colitis|Ulcerative colitis is a chronic inflammatory bowel disease that affects the colon and rectum. Symptoms include abdominal pain, diarrhea with blood, fatigue, and weight loss. Treatment involves anti-inflammatory drugs like aminosalicylates, corticosteroids, immunosuppressants, and sometimes surgery to remove the colon.
male genitalia infection|Male genitalia infections can be caused by bacteria, viruses, or fungi and may affect the penis, scrotum, or urethra. Symptoms include redness, swelling, discharge, itching, and pain. Treatment depends on the cause and may include antibiotics, antifungals, antivirals, and hygiene measures.
hpv|Human papillomavirus (HPV) is a common sexually transmitted infection. Symptoms may include genital warts, but many cases are asymptomatic. Certain strains can cause cervical and other cancers. Treatment includes topical medications or surgical removal of warts and vaccines for prevention.
angina|Angina is chest pain or discomfort due to reduced blood flow to the heart muscle. Symptoms include pressure or squeezing in the chest, shortness of breath, and fatigue. Treatment involves lifestyle changes, medications like nitrates and beta-blockers, and possibly angioplasty or surgery.
injury to the spinal cord|Spinal cord injury involves damage to the spinal cord that results in loss of function, such as mobility or sensation. Symptoms depend on the level and severity of the injury. Treatment focuses on emergency care, rehabilitation, and managing long-term complications.
nasal polyp|Nasal polyps are noncancerous growths in the nasal passages or sinuses. Symptoms include nasal congestion, loss of smell, sinus pressure, and frequent infections. Treatment includes nasal corticosteroids, antihistamines, or surgical removal.
lichen simplex|Lichen simplex chronicus is a skin disorder characterized by thickened, itchy patches of skin from chronic scratching. Symptoms include leathery skin plaques and intense itching. Treatment includes topical steroids, antihistamines, and behavior modification to stop scratching.
trichiasis|Trichiasis is a condition where eyelashes grow inward toward the eye, irritating the cornea. Symptoms include eye pain, redness, tearing, and sensitivity to light. Treatment includes removing the misdirected lashes, electrolysis, or surgery.
acariasis|Acariasis is an infestation caused by mites, such as scabies or other skin-burrowing mites. Symptoms include intense itching, skin rash, and redness. Treatment includes topical or oral antiparasitic medications like permethrin or ivermectin.
colorectal cancer|Colorectal cancer is cancer of the colon or rectum. Symptoms include blood in stool, changes in bowel habits, abdominal pain, and weight loss. Treatment options include surgery, chemotherapy, radiation therapy, and targeted therapies.
skin pigmentation disorder|Skin pigmentation disorders include conditions like vitiligo, melasma, or hyperpigmentation. Symptoms involve patches of lighter or darker skin. Treatments depend on the type and may include topical creams, laser therapy, and sun protection.
factitious disorder|Factitious disorder is a mental illness where a person deliberately produces or exaggerates symptoms of illness. Symptoms can vary widely and are self-induced. Treatment involves psychotherapy, particularly cognitive-behavioral therapy, and addressing underlying psychological issues.
lymphogranuloma venereum|Lymphogranuloma venereum is a sexually transmitted infection caused by certain strains of Chlamydia trachomatis. Symptoms include genital ulcers, swollen lymph nodes, and rectal pain. Treatment involves a prolonged course of antibiotics like doxycycline.
galactorrhea of unknown cause|Galactorrhea is the spontaneous flow of milk from the breast unrelated to childbirth or nursing. Symptoms include milky nipple discharge and possible menstrual irregularities. Treatment involves identifying and addressing underlying causes, or using medications to reduce prolactin levels if idiopathic.
g6pd enzyme deficiency|G6PD deficiency is a genetic disorder that causes red blood cells to break down under certain stressors. Symptoms include fatigue, jaundice, and dark urine, especially after certain foods or medications. Treatment involves avoiding triggers and supportive care during hemolytic episodes.
nerve impingement near the shoulder|Nerve impingement near the shoulder often involves compression of the brachial plexus or peripheral nerves. Symptoms include shoulder pain, weakness, tingling, and numbness. Treatment includes rest, physical therapy, anti-inflammatory medications, and sometimes surgery.
toxoplasmosis|Toxoplasmosis is an infection caused by the Toxoplasma gondii parasite, often contracted through undercooked meat or exposure to cat feces. Symptoms may include flu-like signs such as swollen lymph nodes, muscle aches, and fatigue, though it may be asymptomatic in healthy individuals. In pregnant women or immunocompromised people, it can cause serious complications like brain inflammation or fetal damage. Treatment typically involves medications such as pyrimethamine and sulfadiazine along with folinic acid.
fibroadenoma|Fibroadenoma is a benign breast tumor commonly found in young women. It feels like a firm, smooth, and movable lump in the breast, usually painless. These tumors often do not require treatment unless they grow, cause discomfort, or raise concern, in which case surgical removal may be recommended. Monitoring through regular exams or imaging is often sufficient.
open wound of the hand|An open wound of the hand refers to a break in the skin due to cuts, abrasions, punctures, or lacerations. Symptoms include bleeding, pain, swelling, and risk of infection. Treatment involves cleaning the wound, stopping the bleeding, applying antibiotics, and dressing it properly. Severe wounds may require stitches or surgical intervention.
missed abortion|Missed abortion (missed miscarriage) occurs when a fetus dies or fails to develop but is not expelled from the uterus. Symptoms are often absent, but may include loss of pregnancy symptoms or brownish discharge. Diagnosis is made via ultrasound. Treatment options include waiting for natural expulsion, medication to induce miscarriage, or a surgical procedure called dilation and curettage (D&C).
diabetic ketoacidosis|Diabetic ketoacidosis (DKA) is a life-threatening complication of diabetes, typically type 1, where the body breaks down fat too quickly, producing ketones that make the blood acidic. Symptoms include nausea, vomiting, abdominal pain, rapid breathing, fruity-smelling breath, confusion, and dehydration. Treatment involves intravenous insulin, fluids, and electrolyte replacement to stabilize the patient.
granuloma inguinale|Granuloma inguinale is a sexually transmitted bacterial infection caused by Klebsiella granulomatis. It causes painless genital ulcers that progressively enlarge and bleed easily. If untreated, it can lead to tissue destruction. Treatment involves antibiotics, typically doxycycline, taken for several weeks until all lesions heal.
obsessive compulsive disorder (ocd)|Obsessive-compulsive disorder is a mental health condition characterized by intrusive, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety. Common symptoms include excessive cleaning, checking, or counting. Treatment includes cognitive behavioral therapy (CBT), especially exposure and response prevention (ERP), and medications like SSRIs.
injury of the ankle|An ankle injury typically involves a sprain, strain, or fracture due to trauma or twisting. Symptoms include pain, swelling, bruising, and difficulty walking. Treatment depends on severity and may involve rest, ice, compression, elevation (RICE), immobilization, physical therapy, or surgery in severe cases.
hyponatremia|Hyponatremia is a condition where blood sodium levels are abnormally low, leading to water imbalance in cells. Symptoms range from nausea and headache to confusion, seizures, and coma in severe cases. Treatment includes fluid restriction, salt tablets, or intravenous sodium, depending on the underlying cause and severity.
stricture of the esophagus|Esophageal stricture refers to a narrowing of the esophagus that causes difficulty swallowing. It can result from chronic acid reflux, injury, or radiation. Symptoms include trouble swallowing, food getting stuck, and chest discomfort. Treatment often includes esophageal dilation and addressing the underlying cause, such as acid suppression with medications.
fracture of the ankle|An ankle fracture is a break in one or more of the bones that form the ankle joint, typically due to trauma. Symptoms include severe pain, swelling, bruising, and inability to bear weight. Treatment may involve immobilization with a cast or splint, and in severe cases, surgical fixation with plates or screws.
soft tissue sarcoma|Soft tissue sarcoma is a rare cancer that arises from connective tissues like fat, muscle, or blood vessels. It often presents as a painless lump that grows over time. Symptoms depend on location and size. Treatment typically includes surgery, radiation, and sometimes chemotherapy, depending on the type and stage.
bone disorder|Bone disorders refer to conditions affecting the strength, structure, or formation of bones, such as osteoporosis, osteogenesis imperfecta, or Paget's disease. Symptoms vary but may include pain, fractures, deformities, or mobility issues. Treatment depends on the specific disorder and may involve medications, supplements, physical therapy, or surgery.
epilepsy|Epilepsy is a neurological disorder characterized by recurrent seizures due to abnormal brain activity. Symptoms vary by seizure type and may include convulsions, loss of consciousness, or brief staring spells. Treatment involves anti-epileptic drugs, lifestyle adjustments, and in some cases, surgery or neurostimulation devices.
personality disorder|Personality disorders are mental health conditions involving enduring, inflexible patterns of thinking and behavior that impair social and occupational functioning. Examples include borderline, narcissistic, and antisocial personality disorders. Treatment typically involves psychotherapy, especially cognitive behavioral therapy, and sometimes medication for co-occurring symptoms like depression or anxiety.
shingles (herpes zoster)|Shingles is caused by reactivation of the varicella-zoster virus, leading to a painful, blistering rash typically on one side of the body. Symptoms also include burning or tingling pain, fever, and fatigue. Treatment includes antiviral medications (like acyclovir), pain relievers, and sometimes corticosteroids.
tourette syndrome|Tourette syndrome is a neurological disorder characterized by repetitive, involuntary movements and vocalizations called tics. Symptoms often begin in childhood and may include blinking, head jerking, or vocal sounds. Treatment includes behavioral therapy and, in some cases, medications like antipsychotics or alpha agonists.
avascular necrosis|Avascular necrosis is the death of bone tissue due to reduced blood flow, often affecting the hip. Symptoms include joint pain and stiffness that worsen over time. Causes include trauma, steroid use, or alcohol abuse. Treatment includes rest, medications, physical therapy, and possibly surgical procedures like joint replacement.
strep throat|Strep throat is a bacterial infection of the throat caused by group A Streptococcus. Symptoms include sore throat, fever, swollen lymph nodes, and red tonsils with white patches. It is treated with antibiotics, typically penicillin or amoxicillin, and supportive care like pain relievers and fluids.
